CallIndex,SubproblemSize
1,10000
2,198
3,44
4,11
5,8
6,0
7,7
8,1
9,5
10,0
11,4
12,3
13,2
14,0
15,1
16,0
17,0
18,2
19,1
20,0
21,32
22,10
23,8
24,6
25,0
26,5
27,0
28,4
29,0
30,3
31,1
32,1
33,1
34,1
35,21
36,7
37,0
38,6
39,0
40,5
41,4
42,0
43,3
44,1
45,1
46,0
47,13
48,0
49,12
50,1
51,10
52,3
53,1
54,1
55,6
56,4
57,1
58,2
59,0
60,1
61,1
62,153
63,116
64,57
65,44
66,25
67,5
68,2
69,0
70,1
71,2
72,0
73,1
74,19
75,18
76,2
77,0
78,1
79,15
80,8
81,3
82,0
83,2
84,0
85,1
86,4
87,1
88,2
89,0
90,1
91,6
92,1
93,4
94,0
95,3
96,1
97,1
98,0
99,18
100,17
101,4
102,0
103,3
104,2
105,0
106,1
107,0
108,12
109,9
110,7
111,0
112,6
113,4
114,2
115,1
116,0
117,1
118,1
119,1
120,2
121,1
122,0
123,0
124,12
125,3
126,0
127,2
128,1
129,0
130,8
131,2
132,0
133,1
134,5
135,0
136,4
137,1
138,2
139,0
140,1
141,58
142,52
143,31
144,7
145,2
146,1
147,0
148,4
149,3
150,1
151,1
152,0
153,23
154,2
155,0
156,1
157,20
158,19
159,6
160,0
161,5
162,1
163,3
164,0
165,2
166,0
167,1
168,12
169,6
170,5
171,0
172,4
173,0
174,3
175,0
176,2
177,0
178,1
179,0
180,5
181,0
182,4
183,0
184,3
185,1
186,1
187,0
188,20
189,17
190,10
191,7
192,5
193,3
194,0
195,2
196,0
197,1
198,1
199,1
200,2
201,0
202,1
203,6
204,0
205,5
206,1
207,3
208,0
209,2
210,1
211,0
212,2
213,0
214,1
215,5
216,4
217,1
218,2
219,1
220,0
221,0
222,36
223,22
224,8
225,5
226,0
227,4
228,0
229,3
230,0
231,2
232,0
233,1
234,2
235,1
236,0
237,13
238,7
239,0
240,6
241,5
242,0
243,4
244,2
245,0
246,1
247,1
248,0
249,5
250,0
251,4
252,0
253,3
254,0
255,2
256,0
257,1
258,13
259,3
260,1
261,1
262,9
263,7
264,0
265,6
266,2
267,0
268,1
269,3
270,1
271,1
272,1
273,9801
274,4898
275,1496
276,286
277,171
278,109
279,8
280,3
281,0
282,2
283,0
284,1
285,4
286,1
287,2
288,0
289,1
290,100
291,4
292,0
293,3
294,1
295,1
296,95
297,45
298,36
299,28
300,25
301,22
302,1
303,20
304,17
305,9
306,0
307,8
308,4
309,0
310,3
311,0
312,2
313,1
314,0
315,3
316,0
317,2
318,0
319,1
320,7
321,1
322,5
323,0
324,4
325,0
326,3
327,0
328,2
329,0
330,1
331,2
332,1
333,0
334,2
335,0
336,1
337,2
338,0
339,1
340,7
341,0
342,6
343,0
344,5
345,3
346,1
347,1
348,1
349,8
350,4
351,1
352,2
353,0
354,1
355,3
356,1
357,1
358,49
359,21
360,16
361,1
362,14
363,0
364,13
365,3
366,0
367,2
368,1
369,0
370,9
371,3
372,0
373,2
374,0
375,1
376,5
377,3
378,2
379,1
380,0
381,0
382,1
383,4
384,0
385,3
386,2
387,1
388,0
389,0
390,27
391,1
392,25
393,13
394,6
395,5
396,0
397,4
398,1
399,2
400,1
401,0
402,0
403,6
404,0
405,5
406,1
407,3
408,0
409,2
410,1
411,0
412,11
413,6
414,0
415,5
416,0
417,4
418,3
419,0
420,2
421,0
422,1
423,0
424,4
425,0
426,3
427,2
428,0
429,1
430,0
431,61
432,21
433,1
434,19
435,3
436,0
437,2
438,0
439,1
440,15
441,12
442,5
443,0
444,4
445,3
446,1
447,1
448,0
449,6
450,0
451,5
452,3
453,0
454,2
455,0
456,1
457,1
458,2
459,0
460,1
461,39
462,15
463,10
464,7
465,0
466,6
467,5
468,0
469,4
470,3
471,0
472,2
473,0
474,1
475,0
476,0
477,2
478,0
479,1
480,4
481,0
482,3
483,0
484,2
485,1
486,0
487,23
488,4
489,0
490,3
491,1
492,1
493,18
494,16
495,14
496,9
497,2
498,0
499,1
500,6
501,1
502,4
503,0
504,3
505,0
506,2
507,0
508,1
509,4
510,1
511,2
512,0
513,1
514,1
515,1
516,114
517,30
518,14
519,0
520,13
521,1
522,11
523,0
524,10
525,3
526,2
527,0
528,1
529,0
530,6
531,0
532,5
533,3
534,0
535,2
536,0
537,1
538,1
539,15
540,3
541,0
542,2
543,0
544,1
545,11
546,6
547,1
548,4
549,0
550,3
551,0
552,2
553,0
554,1
555,4
556,0
557,3
558,0
559,2
560,0
561,1
562,83
563,14
564,7
565,4
566,1
